From	To
4896.SPAC1A6.05c-1	Q9Y827
4896.SPAC1A6.07-1	O13858
4896.SPAC1A6.09c-1	P78970
4896.SPAC1A6.10-1	O13861
4896.SPAC1B1.01-1	O13862
4896.SPAC1B1.02c-1	O13863
4896.SPAC1B1.03c-1	O13864
4896.SPAC1B2.02c-1	Q9UTF8
4896.SPAC1B2.03c-1	Q9UTF7
4896.SPAC1B2.04-1	Q9UTF6
4896.SPAC1B2.05-1	P41389
4896.SPAC1B3.01c-1	O13867
4896.SPAC1B3.02c-1	O13868
4896.SPAC1B3.03c-1	Q11004
4896.SPAC1B3.05-1	O13870
4896.SPAC1B3.06c-1	O13871
4896.SPAC1B3.08-1	O13873
4896.SPAC1B3.09c-1	O13874
4896.SPAC1B3.12c-1	O13877
4896.SPAC1B3.13-1	O13878
4896.SPAC1B3.14-1	P50515
4896.SPAC1B3.16c-1	O13880
4896.SPAC1B3.18c-1	O13882
4896.SPAC1B3.20-1	Q9Y7I1
4896.SPAC1B9.02c-1	P50530
4896.SPAC1B9.03c-1	O14206
4896.SPAC1D4.01-1	Q10148
4896.SPAC1D4.02c-1	Q10149
4896.SPAC1D4.04-1	Q10147
4896.SPAC1D4.05c-1	Q10151
4896.SPAC1D4.06c-1	P36615
4896.SPAC1D4.08-1	Q10153
4896.SPAC1D4.09c-1	Q10154
4896.SPAC1D4.10-1	Q10155
4896.SPAC1D4.12-1	P26659
4896.SPAC1D4.13-1	P10506
4896.SPAC1D4.14-1	Q09779
4896.SPAC1F12.02c-1	Q10344
4896.SPAC1F12.05-1	Q10347
4896.SPAC1F12.07-1	Q10349
4896.SPAC1F12.08-1	Q10350
4896.SPAC1F12.09-1	Q10351
4896.SPAC1F12.10c-1	Q10352
4896.SPAC1F3.01-1	Q10146
4896.SPAC1F3.02c-1	Q10407
4896.SPAC1F3.03-1	Q10408
4896.SPAC1F3.04c-1	Q10409
4896.SPAC1F3.05-1	Q10410
4896.SPAC1F3.06c-1	Q10411
4896.SPAC1F3.07c-1	Q10412
4896.SPAC1F3.09-1	Q10414
4896.SPAC1F5.02-1	Q10057
4896.SPAC1F5.03c-1	Q10058
4896.SPAC1F5.04c-1	Q10059
4896.SPAC1F5.06-1	Q10061
4896.SPAC1F5.07c-1	Q10062
4896.SPAC1F5.10-1	Q10055
4896.SPAC1F5.11c-1	Q10064
4896.SPAC1F7.01c-1	Q09915
4896.SPAC1F7.02c-1	Q09916
4896.SPAC1F7.04-1	Q09914
4896.SPAC1F7.05-1	P36602
4896.SPAC1F7.07c-1	Q09919
4896.SPAC1F7.08-1	Q09920
4896.SPAC1F7.09c-1	Q09913
4896.SPAC1F7.10-1	Q09921
4896.SPAC1F7.11c-1	Q09922
4896.SPAC1F7.12-1	Q09923
4896.SPAC1F8.04c-1	Q92342
4896.SPAC1F8.07c-1	Q92345
4896.SPAC20G4.01-1	Q7Z991
4896.SPAC20G4.05c-1	O13890
4896.SPAC20G4.06c-1	P78929
4896.SPAC20G4.07c-1	P36209
4896.SPAC20G4.08-1	O13892
4896.SPAC20G8.01-1	P12000
4896.SPAC20G8.02-1	P87109
4896.SPAC20G8.03-1	P87110
4896.SPAC20G8.04c-1	P87111
4896.SPAC20G8.05c-1	Q09822
4896.SPAC20G8.06-1	P87112
